,GLD,GLD
2009-12-31,1,0.0035537010411808216
2010-01-04,1,0.02320385378635818
2010-01-05,1,-0.0009108023746455076
2010-01-06,1,0.016499591962999452
2010-01-07,1,-0.006187807624317701
2010-01-08,1,0.004963030619675232
2010-01-11,1,0.013288997854357006
2010-01-12,1,-0.020912721685971143
2010-01-13,1,0.009503150258473451
2010-01-14,1,0.00439302366637617
2010-01-15,1,-0.010443614939693528
2010-01-19,1,0.005953418988644824
2010-01-20,1,-0.02313481240425202
2010-01-21,1,-0.01441159959280016
2010-01-22,1,-0.001862760291706201
2010-01-25,1,0.0028926489995789845
2010-01-26,1,0.0007442705541653278
2010-01-27,1,-0.009576039444736683
2010-01-28,1,-0.0004693083914030552
2010-01-29,1,-0.0048835861764374815
2010-02-01,1,0.022555675823884253
2010-02-02,1,0.007198881313165631
2010-02-03,1,-0.003940257637661707
2010-02-04,1,-0.039834354399493635
2010-02-05,1,0.0029701786953713763
2010-02-08,1,-0.0061138649960129346
2010-02-09,1,0.013168038586373816
2010-02-10,1,-0.0027511707186439207
2010-02-11,1,0.019120951810489676
2010-02-12,1,-0.0008400666498453931
2010-02-16,1,0.024103155913561186
2010-02-17,1,-0.003375321449657307
2010-02-18,1,0.006681952923877289
2010-02-19,1,-0.004637226047132286
2010-02-22,1,-0.0036539830220012584
2010-02-23,1,-0.010818743086801133
2010-02-24,1,-0.004912399502226024
2010-02-25,1,0.008848704758209452
2010-02-26,1,0.010340714355349606
2010-03-01,1,0.0
2010-03-02,1,0.014529802919276991
2010-03-03,1,0.005494511158316263
2010-03-04,1,-0.007166491463286195
2010-03-05,1,-0.00018049510178147702
2010-03-08,1,-0.008392747276111244
2010-03-09,1,-0.001456097895104988
2010-03-10,1,-0.011392635673468593
2010-03-11,1,0.0011984627266064492
2010-03-12,1,-0.005985281169537022
2010-03-15,1,0.003798088686430957
2010-03-16,1,0.018826143448106108
2010-03-17,1,-0.007337003412979189
2010-03-18,1,0.006843690346403345
2010-03-19,1,-0.018669545286964535
2010-03-22,1,-0.0048947061809369976
2010-03-23,1,0.0052900203695983175
2010-03-24,1,-0.018648418101527436
2010-03-25,1,0.004515481785126112
2010-03-26,1,0.01695071716881011
2010-03-29,1,0.001473465949952744
2010-03-30,1,-0.007172402568247126
2010-03-31,1,0.009076555677125892
2010-04-01,1,0.012023912112733813
2010-04-05,1,0.005713742437983838
2010-04-06,1,0.001262506902507084
2010-04-07,1,0.013149591106227175
2010-04-08,1,0.0014223812352023213
2010-04-09,1,0.008788263207809194
2010-04-12,1,-0.0055437984583037205
2010-04-13,1,-0.0028316050683590633
2010-04-14,1,0.0030170940680155534
2010-04-15,1,0.005485293756329704
2010-04-16,1,-0.021205487283346848
2010-04-19,1,-0.0008090285834133091
2010-04-20,1,0.0027890018383991987
2010-04-21,1,0.007626040562560043
2010-04-22,1,-0.004184856476894843
2010-04-23,1,0.012070870419532123
2010-04-26,1,-0.003887290678644706
2010-04-27,1,0.016674033289738082
2010-04-28,1,-0.002791587738738057
2010-04-29,1,-0.00026243355732291076
2010-04-30,1,0.00945048864710298
2010-05-03,1,0.0032073746933460913
2010-05-04,1,-0.007431094663491499
2010-05-05,1,0.0019151526599501163
2010-05-06,1,0.029542111687074032
2010-05-07,1,-0.001856707103295462
2010-05-10,1,-0.005918635056317344
2010-05-11,1,0.026282248662974076
2010-05-12,1,0.0061329176306159135
2010-05-13,1,-0.006919307716038966
2010-05-14,1,-0.0015759357652556252
2010-05-17,1,-0.008390812604340065
2010-05-18,1,0.0010891190746751276
2010-05-19,1,-0.02393506286285357
2010-05-20,1,-0.006773565413114094
2010-05-21,1,-0.005352167962601213
2010-05-24,1,0.01406001649040439
2010-05-25,1,0.004450567346451574
2010-05-26,1,0.009458082861100945
2010-05-27,1,0.0018570204983223962
2010-05-28,1,0.0016007650863897622
2010-06-01,1,0.00866425330155189
2010-06-02,1,-0.0010841871306987586
2010-06-03,1,-0.01519452089975136
2010-06-04,1,0.010427292018311841
2010-06-07,1,0.01929688208114567
2010-06-08,1,-0.004033236253069828
2010-06-09,1,-0.0036363838132747934
2010-06-10,1,-0.01318842377313309
2010-06-11,1,0.008741707193883454
2010-06-14,1,-0.00341641242239089
2010-06-15,1,0.011622068623597883
2010-06-16,1,-0.005454963586808027
2010-06-17,1,0.013047450103329378
2010-06-18,1,0.0076292066737861835
2010-06-21,1,-0.019864873443235207
2010-06-22,1,0.008804697765326946
2010-06-23,1,-0.004116920646882213
2010-06-24,1,0.0028938082872825717
2010-06-25,1,0.012036265851120264
2010-06-28,1,-0.013603826729219082
2010-06-29,1,0.0014865002115740987
2010-06-30,1,0.0033809159186846314
2010-07-01,1,-0.038132802251900313
2010-07-02,1,0.012388900691215055
2010-07-06,1,-0.01671023515263715
2010-07-07,1,0.010471214473729272
2010-07-08,1,-0.00441692225969271
2010-07-09,1,0.00981146262999376
2010-07-12,1,-0.00861781232849816
2010-07-13,1,0.008692724597704498
2010-07-14,1,-0.0005069073866539227
2010-07-15,1,-0.0005917133813901337
2010-07-16,1,-0.013194664160489469
2010-07-19,1,-0.008056868318884762
2010-07-20,1,0.007949521664730806
2010-07-21,1,-0.006858148660892483
2010-07-22,1,0.008718188601928087
2010-07-23,1,-0.006589117477659245
2010-07-26,1,-0.004909981159489248
2010-07-27,1,-0.01739953744152553
2010-07-28,1,0.0023786154346325038
2010-07-29,1,0.004482353152593525
2010-07-30,1,0.010499579478777981
2010-08-02,1,0.00043296434914472364
2010-08-03,1,0.00389472861932194
2010-08-04,1,0.006293675061456455
2010-08-05,1,0.002227571397457723
2010-08-06,1,0.007351623835511354
2010-08-09,1,-0.003733832532972012
2010-08-10,1,0.002810918456265471
2010-08-11,1,-0.003312724096851898
2010-08-12,1,0.012186810548876891
2010-08-13,1,-0.0002525787669004391
2010-08-16,1,0.00833759062636919
2010-08-17,1,0.00016701447010565243
2010-08-18,1,0.00392485361756263
2010-08-19,1,0.0014140589520809043
2010-08-20,1,-0.003488646657318826
2010-08-23,1,-0.0015837495996746012
2010-08-24,1,0.004842226055815729
2010-08-25,1,0.008308408066873963
2010-08-26,1,-0.003295991462320309
2010-08-27,1,0.00041338502096790504
2010-08-30,1,-0.0008263653611750012
2010-08-31,1,0.009676603535758267
2010-09-01,1,-0.003194621426924238
2010-09-02,1,0.004930548624238816
2010-09-03,1,-0.0035162343769447424
2010-09-07,1,0.006893125994447684
2010-09-08,1,8.151700472077348e-05
2010-09-09,1,-0.009371701853630149
2010-09-10,1,0.0013985340716866862
2010-09-13,1,-0.0009036441905700235
2010-09-14,1,0.01973354581717294
2010-09-15,1,-0.000645010513025429
2010-09-16,1,0.00556716797176053
2010-09-17,1,-0.0007221081591426967
2010-09-20,1,0.0026497657670527903
2010-09-21,1,0.009129489585757551
2010-09-22,1,0.0015077756431296125
2010-09-23,1,0.0007924414099363254
2010-09-24,1,0.00308788107858252
2010-09-27,1,0.0002367888445716097
2010-09-28,1,0.008917276219480918
2010-09-29,1,0.0007821546759058824
2010-09-30,1,-0.0003125696528854973
2010-10-01,1,0.007817996805329065
2010-10-04,1,-0.003490783767423439
2010-10-05,1,0.019694836112940692
2010-10-06,1,0.006259959012464353
2010-10-07,1,-0.010924834747577649
2010-10-08,1,0.009894980388411512
2010-10-11,1,0.0047849734657476935
2010-10-12,1,-0.0024944182403266895
2010-10-13,1,0.01598969765837266
2010-10-14,1,0.005071922418388757
2010-10-15,1,-0.00794068515190167
2010-10-18,1,0.004488376244684878
2010-10-19,1,-0.03105449960421237
2010-10-20,1,0.009299874784343973
2010-10-21,1,-0.014087770334554625
2010-10-22,1,0.0020081447778218034
2010-10-25,1,0.008633395612906868
2010-10-26,1,0.000229260816947482
2010-10-27,1,-0.010391202319783542
2010-10-28,1,0.013279811333891675
2010-10-29,1,0.010515007362563068
2010-11-01,1,-0.005278215759423355
2010-11-02,1,0.00432085606527042
